TC 1 time,TC 1 data,TC 2 time,TC 2 data,TC 3 time,TC 3 data
1650207383.4641364,24.771894387612974,1650207383.4209187,24.878777691357882,1650207383.622538,Out of Range
1650207384.4801116,24.553702093585095,1650207384.4374847,25.330843406939014,1650207384.64957,Out of Range
1650207385.5013108,24.855840686644473,1650207385.4761827,25.038839989286057,1650207385.677329,Out of Range
1650207386.5175526,24.7138122036694,1650207386.49365,25.15860719027977,1650207386.705338,Out of Range
1650207387.5336661,24.88317064194505,1650207387.5097713,25.45804573701979,1650207387.7419186,Out of Range
1650207388.5497413,25.168394072876076,1650207388.5259178,25.571025258207417,1650207388.7704947,Out of Range
1650207389.5657644,25.032009956937625,1650207389.5421877,25.31322959726488,1650207389.7983932,Out of Range
1650207390.5812666,25.240814256600974,1650207390.5583904,25.685015753450205,1650207390.8262477,Out of Range
1650207391.5973742,25.11945877621595,1650207391.5744917,25.616027017462727,1650207391.854174,Out of Range
1650207392.6133912,25.274086771471183,1650207392.5906718,25.709937684197783,1650207392.8821452,Out of Range
1650207393.6295035,25.377300617953594,1650207393.6068985,25.917294743214626,1650207393.9101634,Out of Range
1650207394.6445112,25.457534229028035,1650207394.6230454,25.526021622231458,1650207394.9381459,Out of Range
1650207395.6603572,25.44434774376625,1650207395.639541,25.907514647573475,1650207395.9660752,Out of Range
1650207396.6763465,25.48101611022816,1650207396.655669,26.196456702798812,1650207396.9939713,Out of Range
1650207397.692181,25.52848981570048,1650207397.6712892,25.512324491055647,1650207398.0217147,Out of Range
1650207398.7138474,25.28140385857322,1650207398.6976476,26.319646252629553,1650207399.0494678,Out of Range
1650207399.731118,25.682547918082168,1650207399.714853,26.32355680019194,1650207400.0774832,Out of Range
1650207400.7471344,25.612113895524335,1650207400.7309737,25.98719759743686,1650207401.1054764,Out of Range
1650207401.7629924,26.036604747495172,1650207401.7470484,26.061007458328774,1650207402.1334677,Out of Range
1650207402.7788718,25.779854007218777,1650207402.7632234,26.217967008951426,1650207403.1631498,Out of Range
1650207403.7944057,25.560730607446526,1650207403.7794428,26.036093561960854,1650207404.2003725,Out of Range
1650207404.810478,25.88939899604798,1650207404.7956219,26.407630121012783,1650207405.2321603,Out of Range
1650207405.8267844,26.06202975761922,1650207405.8118885,26.65785581776776,1650207406.259628,Out of Range
1650207406.8430793,25.87179430337017,1650207406.8281145,26.54592352000559,1650207407.2875063,Out of Range
